"id","timestamp","titleChi","title","date","releaseDate","platformEngName","platformChineseName","platformType","numWantToSee","rating","byGenderMale","byGenderFemale","byAge20","byAge20To24","byAge25To29","byAge30To34","byAge35To39","byAge40","byTier1","byTier2","byTier3","byTier4","createdAt","updatedAt"
"1503","1560904056799","千与千寻","千と千尋の神隠し","null","2019-06-21 08:00大陆上映","Maoyan","猫眼","Web","21.9万人","null","40.9%","59.1%","5.2%","36.1%","27.4%","14.5%","8.4%","8.3%","40.9%","25.8%","20.3%","13%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1502","1560904056799","玩具总动员4","Toy Story 4","null","2019-06-21大陆上映","Maoyan","猫眼","Web","6.3万人","null","41.6%","58.4%","3.2%","22.2%","23%","25.6%","16.1%","9.9%","43.5%","21.9%","18.8%","15.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1501","1560904056799","我的青春都是你","Love The Way You Are","null","2019-06-21大陆上映","Maoyan","猫眼","Web","4.2万人","null","34.9%","65.1%","8.9%","42.2%","24%","10.2%","5.8%","8.9%","36.4%","30.4%","23.8%","9.4%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1500","1560904056799","碟仙","Mortal Ouija","null","2019-06-21大陆上映","Maoyan","猫眼","Web","1.8万人","null","","","3.3%","31.3%","28.4%","18.6%","9.5%","8.9%","35.7%","31%","19.4%","13.9%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1493","1560904056799","蜘蛛侠：英雄远征","Spider-Man: Far From Home","null","2019-06-28大陆上映","Maoyan","猫眼","Web","36.6万人","null","53.2%","46.8%","4.7%","32.3%","27.3%","16.8%","9.5%","9.5%","41.2%","22.5%","20.7%","15.6%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1494","1560904056799","少年的你","Better Days","null","2019-06-27大陆上映","Maoyan","猫眼","Web","48.0万人","null","33.8%","66.2%","10%","45.9%","23.6%","8.6%","4.4%","7.5%","38.2%","30.7%","22.4%","8.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1495","1560904056799","上海往事之当年情","The Old Boys of Shanghai","null","2019-06-21大陆上映","Maoyan","猫眼","Web","439人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1496","1560904056799","六月夏初","Summer Time","null","2019-06-21大陆上映","Maoyan","猫眼","Web","3115人","null","33.8%","66.2%","11%","45.1%","19.3%","7.4%","5.4%","11.8%","35.4%","33.1%","23.3%","8.2%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1497","1560904056799","监护风云","Jusqu’à la Garde","null","2019-06-21大陆上映","Maoyan","猫眼","Web","4773人","null","43.5%","56.5%","3.3%","32.2%","28.6%","18%","9.2%","8.7%","39.3%","25%","21.2%","14.4%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1498","1560904056799","真相漩涡","Spinning Man","null","2019-06-21大陆上映","Maoyan","猫眼","Web","1.1万人","null","49.3%","50.7%","4.9%","32.5%","26.4%","14.8%","9.2%","12.3%","43.8%","21.5%","19.4%","15.3%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
