id,timestamp,titleChi,title,date,releaseDate,platformEngName,platformChineseName,platformType,numWantToSee,rating,byGenderMale,byGenderFemale,byAge20,byAge20To24,byAge25To29,byAge30To34,byAge35To39,byAge40,byTier1,byTier2,byTier3,byTier4,createdAt,updatedAt
1208,1.56082E+12,忠犬流浪记,A Dong's Tale,null,2019-09-06大陆上映,Maoyan,猫眼,Web,1.8万人,null,,,5.50%,36%,27.50%,13.30%,8.60%,9%,39.20%,27.40%,22.10%,11.40%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1209,1.56082E+12,催眠·裁决,Guilt by Design,null,2019-09-12大陆上映,Maoyan,猫眼,Web,7247人,null,61.80%,38.20%,4.30%,32.80%,32.90%,16.50%,6.70%,6.80%,41.30%,24.90%,22.10%,11.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1210,1.56082E+12,拂乡心,The Return,null,2019-09-12大陆上映,Maoyan,猫眼,Web,37人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1211,1.56082E+12,吹哨人,The Whistleblower,null,2019-09-12大陆上映,Maoyan,猫眼,Web,840人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1204,1.56082E+12,铤而走险,Vortex,null,2019-08-16大陆上映,Maoyan,猫眼,Web,2484人,null,44.50%,55.50%,3%,31.30%,29.50%,18.10%,9.50%,8.60%,43.50%,30%,17.60%,8.90%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1205,1.56082E+12,古窑迷踪,LOST IN THE CAVE DWELLING,null,2019-08-16大陆上映,Maoyan,猫眼,Web,1822人,null,49.40%,50.60%,17.20%,35%,23.20%,11.10%,6%,7.50%,37.70%,28.20%,23.20%,10.90%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1206,1.56082E+12,猎袭,GET HOME,null,2019-08-22大陆上映,Maoyan,猫眼,Web,176人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1207,1.56082E+12,保持沉默,Remain Silence,null,2019-08-23大陆上映,Maoyan,猫眼,Web,6.2万人,null,50.10%,49.90%,3.50%,26.70%,30.20%,20.70%,9.90%,9.10%,43.50%,23.80%,20.20%,12.40%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1202,1.56082E+12,回到过去拥抱你,Over Again,null,2019-08-16大陆上映,Maoyan,猫眼,Web,4.4万人,null,29.20%,70.80%,9.80%,46.10%,22.90%,8.40%,4.50%,8.30%,37.30%,30.20%,24%,8.50%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1203,1.56082E+12,全职高手之巅峰荣耀,,null,2019-08-16大陆上映,Maoyan,猫眼,Web,4.2万人,null,58.40%,41.60%,8.50%,39.20%,25.30%,9.60%,6.90%,10.50%,39.40%,27.10%,23%,10.50%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
